Geo Point;Geo Shape;gml_id;id;nom;code_insee;nom_com;longitude;latitude
48.350588436650064, -4.763753746410449;"{""coordinates"": [-4.763753746410449, 48.350588436650064], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29500936;D29500936;Kervidré;29040;Le Conquet;-4.7637696;48.350555
48.416169831079486, -2.8442747419570225;"{""coordinates"": [-2.844274741957022, 48.416169831079486], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221501038;D221501038;ST BRANDAN Le Rillan;22277;Saint-Brandan;-2.8446927;48.415813
47.82617182725981, -4.165956759423368;"{""coordinates"": [-4.165956759423368, 47.82617182725981], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29502639;D29502639;Kergall;29135;Loctudy;-4.1660337;47.826168
48.38211226604874, -4.4864330079999775;"{""coordinates"": [-4.486433007999977, 48.38211226604874], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29500319;D29500319;Les Iles;29019;Brest;-4.486433;48.38211
47.666449497887164, -2.74194003259327;"{""coordinates"": [-2.74194003259327, 47.666449497887164], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000539;D562000539;Troadec;56260;Vannes;-2.741252;47.666004
48.4063615230752, -1.3695997069591954;"{""coordinates"": [-1.369599706959195, 48.4063615230752], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D357141;D357141;ST-BRICE-EN-COGLES Gare;35257;Maen-Roch;-1.369934;48.40583
47.898885725304034, -3.909865633988349;"{""coordinates"": [-3.909865633988349, 47.898885725304034], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29500894;D29500894;Le Poteau Vert;29039;Concarneau;-3.9096737;47.89862
47.91250337632916, -4.072462312571169;"{""coordinates"": [-4.072462312571169, 47.91250337632916], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29500773;D29500773;Route du Drennec;29032;Clohars-Fouesnant;-4.072385;47.912495
48.40787557396884, -4.485117479828218;"{""coordinates"": [-4.485117479828218, 48.40787557396884], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29500349;D29500349;Blum;29019;Brest;-4.485206;48.408123
48.448747548698314, -2.127161163785265;"{""coordinates"": [-2.127161163785265, 48.448747548698314], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500008;D221500008;Hautes Freschais;22003;Aucaleuc;-2.1272204;48.448685
48.507074791708476, -2.7020617664636064;"{""coordinates"": [-2.702061766463606, 48.507074791708476], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500374;D221500374;St-Ilan;22106;Langueux;-2.7021077;48.50706
48.51128398084957, -4.154848657800061;"{""coordinates"": [-4.154848657800061, 48.51128398084957], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29505774;D29505774;Mairie;29264;Saint-Servais;-4.1548486;48.511284
48.120312794280295, -1.7655103041998914;"{""coordinates"": [-1.765510304199891, 48.120312794280295], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35VEZVAL1;D35VEZVAL1;Vezin /Vallée;35353;Vezin-le-Coquet;-1.7655;48.1204
48.244155102970886, -1.4611474752640656;"{""coordinates"": [-1.461147475264066, 48.244155102970886], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D356469;D356469;GOSNE Rue Nationale;35121;Gosné;-1.461027;48.244102
48.14169999904723, -1.770520000000011;"{""coordinates"": [-1.77052, 48.14169999904723], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35ARCOM@PACNOM;D35ARCOM@PACNOM;Pacé Nominoé;35210;Pacé;-1.77052;48.1417
47.90746367798106, -2.9814288850428277;"{""coordinates"": [-2.981428885042828, 47.90746367798106], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000407;D562000407;Eglise;56074;Guénin;-2.9814057;47.90748
47.84803199904549, -1.6927476923077138;"{""coordinates"": [-1.692747692307714, 47.84803199904549], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D3512928;D3512928;Bain-de-Bretagne/Lycée;35012;Bain-de-Bretagne;-1.6927477;47.848034
48.197220636553645, -4.092503736925971;"{""coordinates"": [-4.092503736925971, 48.197220636553645], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29500607;D29500607;Quai Cosmao;29026;Châteaulin;-4.0924115;48.197247
48.45637552571147, -2.054153744328827;"{""coordinates"": [-2.054153744328827, 48.45637552571147], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500173;D221500173;Gare Routière;22050;Dinan;-2.0540411;48.45642
48.25082321045913, -1.8263806126763225;"{""coordinates"": [-1.826380612676322, 48.25082321045913], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35LGTCE1;D35LGTCE1;Langouët/ Centre;35146;Langouet;-1.8264;48.2508
47.92831078564419, -1.7432792821995453;"{""coordinates"": [-1.743279282199545, 47.92831078564419], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D351221;D351221;Bourg-des-Comptes/La Pommeraie;35033;Bourg-des-Comptes;-1.743314;47.928383
48.56060198316092, -3.1468147625872547;"{""coordinates"": [-3.146814762587255, 48.56060198316092], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500237;D221500237;Coll. Notre Dame;22070;Guingamp;-3.1468153;48.56057
